,start_time,start_lat,start_lng,end_lat,end_lng,ride_value,X_pick,Y_pick,X_drop,Y_drop,timestamp,distances
368980,2022-03-04 20:03:39.005805000,59.42977756697771,24.73489628473241,59.38443588255905,24.5508553343228,2.8465,541710.8765980488,6588219.93203898,531306.9278275036,6583068.747489586,1646424219.005805,11609.343318295178
381731,2022-03-07 13:18:29.434168000,59.44048191766796,24.764730200285488,59.44122652751446,24.730158525588045,0.48,543390.5078500449,6589431.302361567,541428.1002057733,6589492.392965323,1646659109.434168,1963.3583025426205
172283,2022-03-18 07:25:22.941281000,59.450916809913785,24.85178427722029,59.425776286840886,24.64732326796477,2.92125,548314.9102047789,6590653.231999819,536744.9174703902,6587722.979594994,1647588322.941281,11935.28847702428
600905,2022-03-28 21:01:57.133211000,59.42349877310489,24.749754201196545,59.44001468747513,24.884777564621604,1.9285,542561.9583735652,6587529.8207527725,550202.269094439,6589463.005282407,1648501317.133211,7881.088144229548
467879,2022-03-22 19:13:33.005106000,59.44121733030502,24.86396561966525,59.434532645526254,24.727748406654445,1.899,549019.7400130674,6589581.582046422,541299.4496516186,6588745.2172046965,1647976413.005106,7765.461313634474
517362,2022-03-05 22:08:38.170635000,59.43710520200889,24.75018984251789,59.42684684501098,24.72391751021459,0.4625,542569.7352174413,6589045.825555183,541091.2967474854,6587886.678490232,1646518118.170635,1878.6703350057792
607796,2022-03-20 00:04:23.938000000,59.441184686132,24.73708754575284,59.43008530513215,24.78947282095919,0.796503924444165,541821.2778942233,6589492.0316809025,544807.9628233003,6588289.4108290095,1647734663.938,3219.717965751514
431768,2022-03-15 12:08:58.789056000,59.44250482077928,24.874366415339534,59.3963430231371,24.668344120788763,3.13225,549607.9582069314,6589732.649877949,537970.7853250509,6584455.858501574,1647346138.789056,12777.649232646636
338336,2022-03-20 10:39:06.283000000,59.42805392284004,24.74594028287969,59.42442215481594,24.71339646581536,0.4712416262874038,542339.8160471342,6588034.840708378,540496.9924910985,6587610.1735225795,1647772746.283,1891.1215924350581
467993,2022-03-11 21:46:23.977871000,59.4040863565586,24.67439005189956,59.38246105093484,24.63564763607537,0.8055,538305.5899220472,6585321.888299133,536127.9045136266,6582891.3761820635,1647035183.9778712,3263.3882529157318
484803,2022-03-09 18:48:57.163646000,59.44106313287509,24.62171414702013,59.4572771575395,24.87479226867849,3.54,535275.4890068766,6589412.187156816,549610.6558092561,6591378.548535123,1646851737.163646,14469.401657364408
2135,2022-03-26 04:32:52.075000000,59.400231922871065,24.80920663661494,59.43346275078336,24.753705321033475,1.195922536290267,545968.0584144176,6584977.205682433,542773.7731538701,6588642.2996862745,1648269172.075,4861.725247558093
250506,2022-03-21 19:48:13.067000000,59.42961758431196,24.715418193624323,59.42672307584111,24.744183622785528,0.4164335697891392,540605.5814011474,6588190.158582344,542241.7563935281,6587885.479584607,1647892093.0670002,1664.301023659343
288630,2022-03-02 10:33:12.647605000,59.436423737451975,24.776166937437925,59.39943796316029,24.670750506513773,1.78675,544044.6265948159,6588986.683399189,538104.0476101488,6584801.993165576,1646217192.647605,7266.506108465556
338716,2022-03-12 09:09:04.812332000,59.4328489610169,24.71467100159659,59.39630086199009,24.68870270353526,1.07625,540559.3385757976,6588549.677456072,539127.4302607334,6584462.861862023,1647076144.812332,4330.406807969207
207785,2022-03-16 22:26:28.426971000,59.43409240041014,24.751821652256023,59.44091795970992,24.77994286511223,0.4335,542666.0907409395,6588711.241764618,544253.0654651328,6589489.815048317,1647469588.426971,1767.6722358284894
183446,2022-03-20 22:23:17.984516000,59.42588167707963,24.729519377557818,59.42927621833178,24.750683290552782,0.30825,541410.4290950728,6587782.605520848,542607.4956337538,6588174.005173286,1647814997.9845161,1259.4292302303402
187642,2022-03-10 20:23:06.036000000,59.45096741511412,24.71686116682193,59.420479523068,24.80146381308709,1.449693243042825,540662.0596895107,6590569.3825745,545501.2871938051,6587227.428808373,1646943786.036,5881.052440953411
575035,2022-03-01 15:18:55.311078000,59.39455790631799,24.668340752097247,59.45470211475165,24.84125504570977,2.9225,537972.5753837763,6584256.998328298,547712.4139016573,6591067.366928277,1646147935.3110778,11884.678153907593
321905,2022-03-21 00:30:51.004000000,59.43985965591494,24.748878590760604,59.41750972243827,24.753841133837533,0.6364546676696335,542491.9051093495,6589351.835678432,542801.4533274852,6586865.256032279,1647822651.004,2505.7730216472614
243178,2022-03-08 12:43:39.692000000,59.4347840799142,24.756203682481544,59.45344004493455,24.713155571668807,0.7846154479226569,542913.8929980437,6588791.088907512,540448.9488613423,6590842.591975255,1646743419.692,3206.9634288556713
333048,2022-03-12 09:18:22.305466000,59.43157276403001,24.760060666126503,59.45279356372296,24.702096899776127,0.99675,543136.817778127,6588435.82895945,539822.4970692339,6590763.957189091,1647076702.3054662,4050.2966329697965
346023,2022-03-06 15:07:50.636684000,59.447211436419785,24.710090879076823,59.43796262244791,24.756556380167886,0.69375,540282.4769468429,6590146.883695809,542929.9135971356,6589145.398188565,1646579270.636684,2830.528932643751
506294,2022-03-11 09:31:14.954026000,59.43567713303772,24.81059129917055,59.40210788859855,24.66548006291497,2.21825,545998.9948833883,6588926.619026611,537801.7028199047,6585096.435803168,1646991074.954026,9047.977713234566
334936,2022-03-20 06:26:22.133324000,59.437833656148655,24.74307604056321,59.42033420608914,24.7055973067458,0.7115,542165.1781075916,6589122.480896324,540059.0687670644,6587150.0996245025,1647757582.1333241,2885.4781987892325
604525,2022-03-15 08:14:20.728827000,59.47903052883407,24.958655376996088,59.42769201844138,24.73547288365923,3.4085,554331.7021807756,6593866.768196667,541746.1490591811,6587987.96447205,1647332060.7288268,13890.877603990488
117902,2022-03-24 05:40:04.524643000,59.436167183593255,24.72351707507915,59.43136335894929,24.71553865504785,0.17325,541057.3684008599,6588924.704892657,540610.3436334527,6588384.708339168,1648100404.5246432,701.018844579432
344693,2022-03-15 05:26:47.994163000,59.397550413281536,24.64425814136911,59.3850393943422,24.648720576619283,0.3525,536601.13412112,6584576.97097238,536868.1221960501,6583185.711292825,1647322007.994163,1416.6460842815623
245464,2022-03-24 10:58:44.251295000,59.42635508442039,24.702013594276448,59.43842658435647,24.75797713931671,0.8455,539848.5973178499,6587818.681752581,543009.9454347653,6589197.992835272,1648119524.251295,3449.1478627566685
76574,2022-03-25 10:32:08.152159000,59.42583593688608,24.74729560948772,59.44734968896235,24.85924182146152,1.664,542419.4944266187,6587788.6180937765,548742.984433398,6590261.261947446,1648204328.152159,6789.734419911083
384085,2022-03-12 08:49:56.914000000,59.429069025644274,24.71183805496557,59.441228173024,24.883290678360424,2.405956553429004,540403.0366835999,6588126.888079364,550116.1279157542,6589597.070476339,1647074996.9139998,9823.725238652018
258479,2022-03-06 22:21:22.698982000,59.3884735231975,24.7321842229629,59.437231356744206,24.741693193812928,1.35925,541607.1790146369,6583617.086651404,542087.454841718,6589054.517236426,1646605282.698982,5458.60020857013
345703,2022-03-26 21:28:28.213000000,59.4395590239451,24.585982729149062,59.43159086379977,24.74365164173909,2.191226976483514,533249.6381857137,6589226.376814057,542205.5490032126,6588427.406640672,1648330108.2129998,8991.478849941932
270268,2022-03-11 05:06:53.132035000,59.50483262608213,24.84235137405222,59.42112688544208,24.75304377104069,2.6325,547704.4568627784,6596652.601978157,542751.6588813334,6587267.690152643,1646975213.132035,10611.634078579415
568151,2022-03-12 14:08:08.611370000,59.42683271851391,24.54278222726552,59.38791247250697,24.69642664516164,2.38975,530809.8975883294,6587788.023834351,539575.9388795644,6583532.948825372,1647094088.61137,9744.185099415725
228404,2022-03-12 19:30:07.352468000,59.44609446213547,24.72796677050483,59.41629021257543,24.7993786306141,1.2905,541297.8627559171,6590033.324079175,545388.4730623435,6586759.341682276,1647113407.352468,5239.4707189033115
549664,2022-03-18 22:10:24.300829000,59.406106654089406,24.699990600764703,59.41445921704139,24.8163422133686,1.63075,539757.3095137319,6585561.842041612,546354.09544013,6586566.976414834,1647641424.300829,6672.921374252635
184620,2022-03-24 06:52:24.105888000,59.42844123430466,24.77140567686141,59.402922933844174,24.68403171976511,1.40375,543784.6813167111,6588094.334585574,538854.5428596976,6585197.83075446,1648104744.105888,5718.04159209999
